,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
EAC,EarthCoin,Scrypt,TRUE,PoW,12539015187,13500000000
EFL,E-Gulden,Scrypt,TRUE,PoW,20910478.81,21000000
ELC,Elacoin,Scrypt,TRUE,PoW,0,75000000
EMC2,Einsteinium,Scrypt,TRUE,PoW,218871896.5,299792458
EMD,Emerald,Scrypt,TRUE,PoW,19496786.31,32000000
EXCL,Exclusive Coin,PoS,TRUE,PoS,5679705,0
EXE,ExeCoin,Scrypt,TRUE,PoW,,21000000
EZC,EZCoin,Scrypt,TRUE,PoW,,84000000
FLAP,Flappy Coin,Scrypt,TRUE,PoW,0,1.00E+11
FC2,Fuel2Coin,X11,TRUE,PoS,0,100000000
FFC,FireflyCoin,SHA-256,TRUE,PoW,,7.00E+11
FIBRE,FIBRE,NIST5,TRUE,PoW/PoS,0,624000
FRC,FireRoosterCoin,SHA-256,TRUE,PoW,0,2602410
FLT,FlutterCoin,Scrypt,TRUE,PoS/PoW/PoT,461829905.3,0
FRK,Franko,Scrypt,TRUE,PoW,1142732.149,11235813
FRAC,FractalCoin,X11,TRUE,PoW,,1000000
FSTC,FastCoin,Scrypt,FALSE,PoW,,165888000
FTC,FeatherCoin,NeoScrypt,TRUE,PoW,208669093,336000000
GDC,GrandCoin,Scrypt,TRUE,PoW,884125802,1420609614
GLC,GlobalCoin,Scrypt,TRUE,PoW,65672720.47,70000000
GLD,GoldCoin,Scrypt,TRUE,PoW,41658648,72245700
GLX,GalaxyCoin,Scrypt,TRUE,PoW/PoS,,538214400
GLYPH,GlyphCoin,X11,TRUE,PoW/PoS,0,7000000
GML,GameLeagueCoin,Scrypt,TRUE,PoW/PoS,,500000000
GUE,GuerillaCoin,X11,TRUE,PoW/PoS,,19500000
HAL,Halcyon,X15,TRUE,PoW/PoS,0,0
HBN,HoboNickels,Scrypt,TRUE,PoW/PoS,89266933.68,120000000
HUC,HunterCoin,Multiple,TRUE,PoW,0,42000000
HVC,HeavyCoin,Multiple,TRUE,PoW,,128000000
HYP,HyperStake,X11,TRUE,PoS,1678520091,0
ICB,IceBergCoin,NIST5,TRUE,PoW/PoS,,8750000
IFC,Infinite Coin,Scrypt,TRUE,PoW,90595753019,90600000000
IOC,IOCoin,X11,TRUE,PoW/PoS,17650913.97,22000000
IXC,IXcoin,SHA-256,TRUE,PoW,21089349,21000000
JBS,JumBucks Coin,X11,TRUE,PoW/PoS,0,3293010
JKC,JunkCoin,Scrypt,TRUE,PoW,,107000000
JUDGE,JudgeCoin,X13,TRUE,PoW/PoS,0,21600000
KDC,Klondike Coin,Scrypt,TRUE,PoW,,20000000
KEYC,KeyCoin,X13,FALSE,PoW/PoS,,1000000
KGC,KrugerCoin,Scrypt,TRUE,PoW,151447649.8,265420800
LK7,Lucky7Coin,Scrypt,TRUE,PoW/PoS,,99792000
LKY,LuckyCoin,Scrypt,TRUE,PoW,19326319.14,20000000
LSD,LightSpeedCoin,NIST5,TRUE,PoW/PoS,,900000
LTB,Litebar ,Scrypt,TRUE,PoW,1104344.229,1350000
LTCD,LitecoinDark,Scrypt,TRUE,PoW,0,82003200
LTCX,LitecoinX,X11,TRUE,PoW,,84000000
LXC,LibrexCoin,X11,TRUE,PoW/PoS,0,1000000
LYC,LycanCoin,Scrypt,TRUE,PoW,,4950000000
MAX,MaxCoin,SHA3,TRUE,PoW/PoS,61445805,100000000
MEC,MegaCoin,Scrypt,TRUE,PoW,38151999.99,42000000
MED,MediterraneanCoin,HybridScryptHash256,TRUE,PoW,40431856.9,200000000
MINRL,Minerals Coin,X11,FALSE,PoW/PoS,,1000000
MINT,MintCoin,Scrypt,TRUE,PoS,21293925445,0
MN,Cryptsy Mining Contract,SHA-256,TRUE,PoW,,0
MINC,MinCoin,Scrypt,TRUE,PoW,5804204.888,10000000
MRY,MurrayCoin,Scrypt,TRUE,PoW,,58000000
MZC,MazaCoin,SHA-256,TRUE,PoW/PoS,1613836100,2419200000
NAN,NanoToken,Scrypt,TRUE,PoW,,80000000
NAUT,Nautilus Coin,Scrypt,TRUE,PoS,16180000,16180000
NAV,NavCoin,X13,TRUE,PoW/PoS,66087096.21,0
NBL,Nybble,Scrypt,TRUE,PoW,,210000000
NMB,Nimbus Coin,X15,TRUE,PoW/PoS,,25000000
NRB,NoirBits,SHA-256,TRUE,PoW,0,50000000
NOBL,NobleCoin,Scrypt,TRUE,PoW,2366066306,15000000000
NRS,NoirShares,Scrypt,TRUE,PoW/PoS,,5000000
NMC,Namecoin,SHA-256,TRUE,PoW,14736400,21000000
NYAN,NyanCoin,Scrypt,TRUE,PoW,334709223.5,337000000
OPAL,OpalCoin,X13,TRUE,PoW/PoS,15156364.33,0
ORB,Orbitcoin,NeoScrypt,TRUE,PoW/PoS,3220616.279,3770000
PHS,PhilosophersStone,Scrypt,TRUE,PoW,,8891840
POT,PotCoin,Scrypt,TRUE,PoW/PoS,222677226,420000000
PSEUD,PseudoCash,X13,TRUE,PoW/PoS,,2200000
PXC,PhoenixCoin,Scrypt,TRUE,PoW/PoS,73959274.63,98000000
PYC,PayCoin,Scrypt,TRUE,PoW/PoS,,30000000
RDD,Reddcoin,Scrypt,TRUE,PoW/PoS,29315567169,0
RIPO,RipOffCoin,Scrypt,TRUE,PoW,0,12000000
RPC,RonPaulCoin,Scrypt,TRUE,PoW,1104157.422,21000000
RT2,RotoCoin,Scrypt-n,TRUE,PoW/PoS,,288000
RYC,RoyalCoin,Scrypt,TRUE,PoW,,140000000
RZR,RazorCoin,Scrypt,TRUE,PoW,,4000000
SAT2,Saturn2Coin,Scrypt,TRUE,PoW,,15000000000
SBC,StableCoin,Scrypt,TRUE,PoW,24215181.73,250000000
SFR,SaffronCoin,Multiple,TRUE,PoW,,111000000
SHADE,ShadeCoin,Scrypt,TRUE,PoW/PoS,,2000000
SHLD,ShieldCoin,X15,TRUE,PoW/PoS,0,1000000
SILK,SilkCoin,Scrypt,TRUE,PoW/PoS,0,1000000
SLG,SterlingCoin,X13,TRUE,PoS,,0
SMC,SmartCoin,Scrypt,TRUE,PoW,25593737.14,51200000
SOLE,SoleCoin,X15,TRUE,PoW/PoS,,1200000
SPA,SpainCoin,Scrypt-n,TRUE,PoW,0,50000000
SPOTS,Spots,Scrypt,TRUE,PoW,,100000000
SRC,SecureCoin,Scrypt,TRUE,PoW,0,21000000
SSV,SSVCoin,X13,TRUE,PoW,,21000000
SUPER,SuperCoin,X11,TRUE,PoS,50707661.75,0
SYNC,SyncCoin,X11,TRUE,PoW/PoS,1177,1000
SYS,SysCoin,SHA-256,TRUE,PoW,563336541.3,888000000
TAG,TagCoin,Scrypt,TRUE,PoW/PoS,,1000000
TAK,TakCoin,SHA-256,TRUE,PoW/PoS,,7515187520
TES,TeslaCoin,Multiple,TRUE,PoS,80260463.73,100000000
TGC,TigerCoin,SHA-256,TRUE,PoW,43536800,47011968
TIT,TittieCoin,PHI1612,TRUE,PoS,1622326490,2300000000
TOR,TorCoin,X11,TRUE,PoW/PoS,1431851,10000000
TRC,TerraCoin,SHA-256,TRUE,PoW,22935396,42000000
TITC,TitCoin,Scrypt,TRUE,PoW,,1000000
ULTC,Umbrella,SHA-256,TRUE,PoW,0,2625000
UNB,UnbreakableCoin,SHA-256,TRUE,PoW,2278150,80000000
UNO,Unobtanium,SHA-256,TRUE,PoW,200911.7915,250000
URO,UroCoin,X11,TRUE,PoW,1207310,0
USDE,UnitaryStatus Dollar,Scrypt,TRUE,PoW/PoS,1098952593,1600000000
UTC,UltraCoin,Scrypt,TRUE,PoW/PoS,50235211.14,100000000
UTIL,Utility Coin,X13,TRUE,PoW/PoS,0,0
VDO,VidioCoin,X11,TRUE,PoW/PoS,,0
VIA,ViaCoin,Scrypt,TRUE,PoW,23150892.17,23000000
VOOT,VootCoin,X11,TRUE,PoW,0,0
VRC,VeriCoin,Scrypt,TRUE,PoST,32021108.41,0
VTC,Vertcoin,Lyra2REv2,TRUE,PoW,51173723.82,84000000
WDC,WorldCoin,Scrypt,TRUE,PoW,119606941,265420800
XAI,SapienceCoin,X11,TRUE,PoB/PoS,,0
XBOT,SocialXbotCoin,Scrypt,TRUE,PoW/PoS,0,2000000
XC,X11 Coin,X11,TRUE,PoW/PoS,6950831.097,5500000
XCSH,Xcash,Scrypt,FALSE,PoW/PoS,,2400000
XCR,Crypti,Multiple,TRUE,PoS,100000000,0
XJO,JouleCoin,SHA-256,TRUE,PoW,39195739.36,45000000
XLB,LibertyCoin,X11,TRUE,PoW/PoS,,16500000
XST,StealthCoin,X13,TRUE,PoW/PoS,33093725.41,0
XXX,XXXCoin,Scrypt,TRUE,PoW/PoS,0,50000000
YAC,YAcCoin,Scrypt,TRUE,PoW,,2000000000
ZCC,ZCC Coin,Scrypt,TRUE,PoW/PoS,147990238,1000000000
ZED,ZedCoins,Scrypt,TRUE,PoW,,120000000
BCN,ByteCoin,CryptoNight,TRUE,PoW,1.84E+11,1.84E+11
EKN,Elektron,X13,TRUE,PoW/PoS,,3000000
XDN,DigitalNote ,CryptoNight,TRUE,PoW,6906587610,10000000000
XAU,XauCoin,SHA-256,TRUE,PoW,,2100000
BURST,BurstCoin,Shabal256,TRUE,PoC,1813033920,2158812800
SJCX,StorjCoin,Counterparty,TRUE,PoS,51173144,500000000
HUGE,BigCoin,Blake,TRUE,PoW,,164429865
7,007 coin,Scrypt,TRUE,PoW,,989800
MONA,MonaCoin,Scrypt,TRUE,PoW,68194674.87,105120000
TEK,TekCoin,SHA-256,TRUE,PoW/PoS,,100000000
NTRN,Neutron,SHA-256,TRUE,PoW/PoS,39121694,68000000
SLING,Sling Coin,SHA-256,TRUE,PoW,0,1000000
XSI,Stability Shares,Scrypt,TRUE,PoW/PoS,,15000000
KTK,KryptCoin,Scrypt,TRUE,PoS,0,17000000
FAIR,FairCoin,Groestl,TRUE,PoW/PoS,53193831,0
NLG,Gulden,Scrypt,TRUE,PoW,415032420,1680000000
RBY,RubyCoin,Scrypt,TRUE,PoS,27184490.39,0
PTC,PesetaCoin,Scrypt,TRUE,PoW,137517654.4,166386000
KORE,Kore,X13,TRUE,PoW/PoS,2022464.887,12000000
WBB,Wild Beast Coin,Scrypt,TRUE,PoW,181919.2436,2628000
SSD,Sonic Screw Driver Coin,SHA-256,TRUE,PoW/PoS,,0
NOTE,Dnotes,Scrypt,TRUE,PoS,174646113.9,500000000
FLO,Flo,Scrypt,TRUE,PoW,152270664.9,160000000
MMXIV,MaieutiCoin,SHA-256,TRUE,PoS,0,2014
8BIT,8BIT Coin,Scrypt,TRUE,PoW/PoS,1467841,0
STV,Sativa Coin,X13,TRUE,PoW/PoS,7096834,10000000
AM,AeroMe,X13,TRUE,PoW/PoS,0,12000000
NKT,NakomotoDark,X11,TRUE,PoW/PoS,,0
GHC,GhostCoin,Scrypt,TRUE,PoW/PoS,,750000000
ABY,ArtByte,Scrypt,TRUE,PoW,792537250,1000000000
MTR,MasterTraderCoin,X11,TRUE,PoW/PoS,0,10110000
BCR,BitCredit,Momentum,TRUE,PoW,0,210000000
XPB,Pebble Coin,CryptoNight,TRUE,PoW,,0
XDQ,Dirac Coin,Blake,TRUE,PoW,,2272800
FLDC,Folding Coin,Stanford Folding,TRUE,PoW,719416990,1000000000
SMAC,Social Media Coin,X11,TRUE,PoW/PoS,,0
U,Ucoin,X11,TRUE,PoS,2689812,20000000
UIS,Unitus,Multiple,TRUE,PoW,65113302,0
CYP,CypherPunkCoin,QuBit,TRUE,PoW,6365285,0
QBK,QuBuck Coin,X13,TRUE,PoS/PoB,,0
MARYJ,MaryJane Coin,X15,TRUE,PoW/PoS,0,0
OMC,OmniCron,Scrypt,TRUE,PoW,10140044.44,3371337
GIG,GigCoin,X11,TRUE,PoW,,0
CC,CyberCoin,Scrypt,TRUE,PoW/PoS,0,0
VTR,Vtorrent,Scrypt,TRUE,PoW/PoS,11604722,20000000
METAL,MetalCoin,Scrypt,TRUE,PoW,,0
GRE,GreenCoin,Scrypt,TRUE,PoW,4610340641,10000000000
XG,XG Sports,XG Hash,TRUE,PoW/PoS,,0
CHILD,ChildCoin,X11,TRUE,PoW,,2000000
MINE,Instamine Nuggets,Scrypt,TRUE,PoW,,21649485
ROS,ROS Coin,X11,TRUE,PoW/PoS,,0
UNAT,Unattanium,SHA-256,TRUE,PoW,0,0
GAIA,GAIA Platform,X11,TRUE,PoS,,24000000
XCN,Cryptonite,M7 POW,TRUE,PoW,708506520,1840000000
GMC,Gridmaster,Scrypt,TRUE,PoW,0,84000000
MMC,MemoryCoin,Multiple,TRUE,PoW,,10000000
CYC,ConSpiracy Coin ,X11,TRUE,PoW,0,33000000
MSC,MasterCoin,Scrypt,TRUE,PoW,619478,619478
EGG,EggCoin,Scrypt,TRUE,PoW/PoS,,3891
CAMC,Camcoin,X11,FALSE,PoW/PoS,,10000000
RBR,Ribbit Rewards,Multiple,TRUE,PoW,,1000000000
ICASH,ICASH,X11,TRUE,PoW,,1000000
NODE,Node,Curve25519,TRUE,PoA,,1000000000
SOON,SoonCoin,SHA-256,TRUE,PoW,12462620,21000000
BTMI,BitMiles,Scrypt,TRUE,PoW,,4832660000
EVENT,Event Token,Scrypt,TRUE,PoW/PoS,,0
1CR,1Credit,Scrypt,TRUE,PoW,88213,92000000000
VIOR,ViorCoin,Scrypt,TRUE,PoW/PoS,0,0
VMC,VirtualMining Coin,Scrypt-n,TRUE,PoW,,1000000
MARSC,MarsCoin,X11,FALSE,PoW,,33000000
EQM,Equilibrium Coin,SHA-256,TRUE,PoW/PoS,,0
ISL,IslaCoin,X11,TRUE,PoW/PoS,1513704,0
QSLV,Quicksilver coin,X11,TRUE,PoW,0,33000000
XNA,DeOxyRibose,X11,TRUE,PoS,,0
SKB,SkullBuzz,SHA-256,TRUE,PoS,,0
FCS,CryptoFocus,X11,TRUE,PoW/PoS,,0
NXS,Nexus,SHA3,TRUE,PoW/nPoS,63657220,78000000
EAGS,EagsCoin,X11,TRUE,PoW/PoS,,20445500
MWC,MultiWallet Coin,X11,TRUE,PoW/PoS,,0
MARS,MarsCoin ,X11,TRUE,PoW,32221574.82,33000000
XMS,Megastake,X11,TRUE,PoW/PoS,,0
SIGU,Singular,Scrypt,TRUE,PoW/PoS,0,0
M1,SupplyShock,X13,TRUE,PoW/PoS,,0
DB,DarkBit,Scrypt,TRUE,PoW/PoS,,0
CTO,Crypto,Lyra2RE,TRUE,PoW,13742738,65789100
BITL,BitLux,X11,FALSE,PoW/PoS,,0
FUTC,FutCoin,X13,TRUE,PoW/PoS,,0
TAM,TamaGucci,Scrypt,TRUE,PoW/PoS/PoC,,5300000
MRP,MorpheusCoin,X11,TRUE,PoW,,3400000
XFC,Forever Coin,X11,TRUE,PoS,,210000000
NANAS,BananaBits,Scrypt,TRUE,PoW/PoS,,0
ACP,Anarchists Prime,SHA-256,TRUE,PoW,14747200,53760000
DRZ,Droidz,QUAIT,TRUE,PoW/PoS,8568038.359,5060000
BSC,BowsCoin,X11,TRUE,PoW,15863837.5,21000000
DRKT,DarkTron,SHA-256,TRUE,PoW/PoS,,1500000
CIRC,CryptoCircuits,vDPOS,TRUE,PoS,0,0
EPY,Empyrean,Scrypt,TRUE,PoW,,100000
SQL,Squall Coin,X11,TRUE,PoS/PoW,329200.0164,0
CHA,Charity Coin,Scrypt,TRUE,PoW,,500000
MIL,Milllionaire Coin,X11,TRUE,PoW/PoS,0,0
QTZ,Quartz,SHA-256,TRUE,PoW/PoS,,0
SPC,SpinCoin,NIST5,TRUE,PoW/PoS,,0
DUB,DubCoin,X15,TRUE,PoW/PoS,,0
GRAV,Graviton,SHA-256,TRUE,PoW/PoS,,0
HEDGE,Hedgecoin,X13,TRUE,PoW,,33000000
SONG,Song Coin,Scrypt,TRUE,PoW,32565300,210240000
XSEED,BitSeeds,SHA-256,TRUE,PoW/PoS,,0
CHIP,Chip,X11,TRUE,PoW,,0
SPEC,SpecCoin,Scrypt,TRUE,PoW,,3000000000
SPRTS,Sprouts,SHA-256,TRUE,PoW/PoS,,0
ZNY,BitZeny,Scrypt,TRUE,PoW,75614500,250000000
DIGS,Diggits,Scrypt,TRUE,PoS,100000000,100000000
EXP,Expanse,Ethash,TRUE,PoW,10495278,16906397
MAPC,MapCoin,X11,TRUE,PoS,0,2228921.184
CON,Paycon,X13,TRUE,PoW/PoS,23042604,50000000
SC,Siacoin,Blake2b,TRUE,PoW,33098296530,0
LYB,LyraBar,Lyra2RE,TRUE,PoW/PoS,,0
EMC,Emercoin,SHA-256,TRUE,PoW/PoS,43059794.8,1000000000
BLITZ,BlitzCoin,X13,TRUE,PoS,0,3852156
BHIRE,BitHIRE,Scrypt,FALSE,PoS,,42000000
EGC,EverGreenCoin,X15,TRUE,PoW/PoS,13530556.42,26298000
MND,MindCoin,X11,TRUE,PoW,15867695,16000000
I0C,I0coin,SHA-256,TRUE,PoW,20997476.87,21000000
DCR,Decred,BLAKE256,TRUE,PoW/PoS,10365046.93,21000000
DOGED,DogeCoinDark,Scrypt,TRUE,PoW,0,16500000000
RVR,Revolution VR,Scrypt,TRUE,PoW,210000000,210000000
HODL,HOdlcoin,1GB AES Pattern Search,TRUE,PoW,11448949,81962100
EDRC,EDRCoin,SHA-256,TRUE,PoW/PoS,3669691.845,22000000
HTC,Hitcoin,X11,TRUE,PoW/PoS,10996318099,26550000000
GAME,Gamecredits,Scrypt,TRUE,PoW,69836100,84000000
DSH,Dashcoin,CryptoNight,TRUE,PoW,0,18446744
DBIC,DubaiCoin,SHA-256,TRUE,PoW/PoS,5129014,10500000
BIOS,BiosCrypto,Quark,TRUE,PoW/PoS,0,20190463.55
DIEM,CarpeDiemCoin,SHA-256,TRUE,PoW,21739971929,21626280000
RCX,RedCrowCoin,Scrypt,TRUE,PoW/PoS,,3966666667
PWR,PWR Coin,NIST5,TRUE,PoW/PoS,10069449032,0
TRUMP,TrumpCoin,Blake,TRUE,PoS,0,12000000
BLRY,BillaryCoin,Scrypt,TRUE,PoW/PoS,8998743.241,42000000
ETHS,EthereumScrypt,Scrypt,TRUE,PoW/PoS,0,4200000
PXL,Phalanx,SHA-256,TRUE,PoW,0,15000000
SOUL,SoulCoin,Scrypt,TRUE,PoW/PoS,,1400000000
SSTC,SunShotCoin,X11,TRUE,PoW,0,2250000000
GPU,GPU Coin,Scrypt,TRUE,PoS,40477042,221052632
TAGR,Think And Get Rich Coin,X15,TRUE,PoW/PoS,,30700000
HMP,HempCoin,Scrypt-n,TRUE,PoW,0,5000000000
ADZ,Adzcoin,X11,TRUE,PoW,45110324,84000000
MYC,MayaCoin,Scrypt,TRUE,PoW/PoS,,250000000
VTA,VirtaCoin,Scrypt,TRUE,PoW,0,21000000000
SOIL,SoilCoin,Dagger,TRUE,PoW,5702048,30000000
YOC,YoCoin,Scrypt,TRUE,PoW,636462.5598,168351300
UNIT,Universal Currency,SHA-256,TRUE,PoW/PoS,0,210000000
AEON,AEON,CryptoNight-Lite,TRUE,PoW,0,18400000
SIB,SibCoin,X11GOST,TRUE,PoW,17263355,24000000
ERC,EuropeCoin,X11,TRUE,PoW/PoS,10407269.79,384000000
AIB,AdvancedInternetBlock,Scrypt,TRUE,PoW,,3.14E+11
XDB,DragonSphere,X11,TRUE,PoW/PoS,,21007600
ANTI,Anti Bitcoin,SHA-256,TRUE,PoW,0,42000000
COLX,ColossusCoinXT,X11,TRUE,PoS,,21000000000
MNM,Mineum,X13,TRUE,PoW/PoS,,10000000
ZEIT,ZeitCoin,Scrypt,TRUE,PoS,36971236047,99000000000
CGA,Cryptographic Anomaly,Scrypt,TRUE,PoW,,10000000000
SWING,SwingCoin,SHA-256,TRUE,PoW/PoS,4377081.61,40000000
SAFEX,SafeExchangeCoin,Scrypt,TRUE,PoC,2147483647,2147483647
NEBU,Nebuchadnezzar,PoS,TRUE,PoS,20000000,20000000
AEC,AcesCoin,X11,TRUE,PoS,,98000000
FRN,Francs,Scrypt,TRUE,PoW,6570807.657,20000000
ADNT,Aiden,ScryptOG,FALSE,PoW,84000000,84000000
N7,Number7,Scrypt,TRUE,PoW,,270967742
CYG,Cygnus,X11,TRUE,PoW/PoS,,25885320
LGBTQ,LGBTQoin,X11,TRUE,PoW,,50000000
UTH,Uther,Dagger,TRUE,PoW,,25885320
MPRO,MediumProject,PoS,TRUE,PoW,,250000
KATZ,KATZcoin,SHA-256D,TRUE,PoW/PoS,,100000000
SPM,Supreme,Scrypt,TRUE,PoW/PoS,,88900000
FLX,Flash,Scrypt,TRUE,PoW/PoS,,1000000
BOLI,BolivarCoin,X11,TRUE,PoW,13654082.5,25000000
CLUD,CludCoin,Scrypt,TRUE,PoW,,100200000
HVCO,High Voltage Coin,SHA-256,TRUE,PoW/PoS,,1700000
GIZ,GIZMOcoin,X11,TRUE,PoW/PoS,0,100000
FUZZ,Fuzzballs,Scrypt,TRUE,PoW,,21000000
SCRT,SecretCoin,X11,TRUE,PoW/PoS,0,21000000
XRA,Ratecoin,X11,TRUE,PoW/PoS,134554941.2,75000000
XNX,XanaxCoin,Scrypt,TRUE,PoW,,42000000
DBG,Digital Bullion Gold,PoS,TRUE,PoS,0,15000000
WMC,WMCoin,X11,TRUE,PoS,,1000000000
GOTX,GothicCoin,Scrypt,TRUE,PoW,,313333333
SHREK,ShrekCoin,Scrypt,TRUE,PoW/PoS,,1246000000
REV,Revenu,SHA-256,TRUE,PoW/PoS,1195525,222725000
PBC,PabyosiCoin,X11,TRUE,PoW/PoS,,31500000000
OBS,Obscurebay,X11,TRUE,PoW/PoS,,6562000
EXIT,ExitCoin,Scrypt,TRUE,PoW/PoS,,756000000
EDUC,EducoinV,Scrypt,TRUE,PoW/PoS,,99000000
CLINT,Clinton,SHA-256,TRUE,PoW,0,2421227
CKC,Clockcoin,SHA-256,TRUE,PoW/PoS,16662820,525000000
VIP,VIP Tokens,NIST5,TRUE,PoW/PoS,83450403,90000000
NXE,NXEcoin,NIST5,TRUE,PoW/PoS,,2200000
ZOOM,ZoomCoin,Lyra2RE,TRUE,PoW,,250000
YOVI,YobitVirtualCoin,SHA-256,TRUE,PoS,,22830000
ORLY,OrlyCoin,X15,TRUE,PoW/PoS,0,36000000
KUBOS,KubosCoin,Scrypt,FALSE,PoW/PoS,,9.87E+11
SAK,SharkCoin,SHA-256,TRUE,PoW,,400000000
